basic_form,pos,pos_detail_1,pos_detail_2,word_type
フシギダネ,名詞,ポケモン,ポケモンの名前,KNOWN
フシギソウ,名詞,ポケモン,ポケモンの名前,KNOWN
フシギバナ,名詞,ポケモン,ポケモンの名前,KNOWN
メガフシギバナ,名詞,ポケモン,ポケモンの名前,KNOWN
ヒトカゲ,名詞,ポケモン,ポケモンの名前,KNOWN
リザード,名詞,ポケモン,ポケモンの名前,KNOWN
リザードン,名詞,ポケモン,ポケモンの名前,KNOWN
メガリザードンエックス,名詞,ポケモン,ポケモンの名前,KNOWN
メガリザードンワイ,名詞,ポケモン,ポケモンの名前,KNOWN
ゼニガメ,名詞,ポケモン,ポケモンの名前,KNOWN
カメール,名詞,ポケモン,ポケモンの名前,KNOWN
カメックス,名詞,ポケモン,ポケモンの名前,KNOWN
メガカメックス,名詞,ポケモン,ポケモンの名前,KNOWN
キャタピー,名詞,ポケモン,ポケモンの名前,KNOWN
トランセル,名詞,ポケモン,ポケモンの名前,KNOWN
バタフリー,名詞,ポケモン,ポケモンの名前,KNOWN
ビードル,名詞,ポケモン,ポケモンの名前,KNOWN
コクーン,名詞,ポケモン,ポケモンの名前,KNOWN
スピアー,名詞,ポケモン,ポケモンの名前,KNOWN
メガスピアー,名詞,ポケモン,ポケモンの名前,KNOWN
ポッポ,名詞,ポケモン,ポケモンの名前,KNOWN
ピジョン,名詞,ポケモン,ポケモンの名前,KNOWN
ピジョット,名詞,ポケモン,ポケモンの名前,KNOWN
メガピジョット,名詞,ポケモン,ポケモンの名前,KNOWN
コラッタ,名詞,ポケモン,ポケモンの名前,KNOWN
ラッタ,名詞,ポケモン,ポケモンの名前,KNOWN
オニスズメ,名詞,ポケモン,ポケモンの名前,KNOWN
オニドリル,名詞,ポケモン,ポケモンの名前,KNOWN
アーボ,名詞,ポケモン,ポケモンの名前,KNOWN
アーボック,名詞,ポケモン,ポケモンの名前,KNOWN
ピカチュウ,名詞,ポケモン,ポケモンの名前,KNOWN
ライチュウ,名詞,ポケモン,ポケモンの名前,KNOWN
メガライチュウエックス,名詞,ポケモン,ポケモンの名前,KNOWN
メガライチュウワイ,名詞,ポケモン,ポケモンの名前,KNOWN
サンド,名詞,ポケモン,ポケモンの名前,KNOWN
サンドパン,名詞,ポケモン,ポケモンの名前,KNOWN
ニドラン♀,名詞,ポケモン,ポケモンの名前,KNOWN
ニドリーナ,名詞,ポケモン,ポケモンの名前,KNOWN
ニドクイン,名詞,ポケモン,ポケモンの名前,KNOWN
ニドラン♂,名詞,ポケモン,ポケモンの名前,KNOWN
ニドリーノ,名詞,ポケモン,ポケモンの名前,KNOWN
ニドキング,名詞,ポケモン,ポケモンの名前,KNOWN
ピッピ,名詞,ポケモン,ポケモンの名前,KNOWN
ピクシー,名詞,ポケモン,ポケモンの名前,KNOWN
ロコン,名詞,ポケモン,ポケモンの名前,KNOWN
ロコン,名詞,ポケモン,ポケモンの名前,KNOWN
キュウコン,名詞,ポケモン,ポケモンの名前,KNOWN
キュウコン,名詞,ポケモン,ポケモンの名前,KNOWN
プリン,名詞,ポケモン,ポケモンの名前,KNOWN
プクリン,名詞,ポケモン,ポケモンの名前,KNOWN
ズバット,名詞,ポケモン,ポケモンの名前,KNOWN
ゴルバット,名詞,ポケモン,ポケモンの名前,KNOWN
ナゾノクサ,名詞,ポケモン,ポケモンの名前,KNOWN
クサイハナ,名詞,ポケモン,ポケモンの名前,KNOWN
ラフレシア,名詞,ポケモン,ポケモンの名前,KNOWN
パラス,名詞,ポケモン,ポケモンの名前,KNOWN
パラセクト,名詞,ポケモン,ポケモンの名前,KNOWN
コンパン,名詞,ポケモン,ポケモンの名前,KNOWN
モルフォン,名詞,ポケモン,ポケモンの名前,KNOWN
ディグダ,名詞,ポケモン,ポケモンの名前,KNOWN
ディグダ,名詞,ポケモン,ポケモンの名前,KNOWN
ダグトリオ,名詞,ポケモン,ポケモンの名前,KNOWN
ダグトリオ,名詞,ポケモン,ポケモンの名前,KNOWN
ニャース,名詞,ポケモン,ポケモンの名前,KNOWN
ニャース,名詞,ポケモン,ポケモンの名前,KNOWN
ニャース,名詞,ポケモン,ポケモンの名前,KNOWN
ペルシアン,名詞,ポケモン,ポケモンの名前,KNOWN
ペルシアン,名詞,ポケモン,ポケモンの名前,KNOWN
コダック,名詞,ポケモン,ポケモンの名前,KNOWN
ゴルダック,名詞,ポケモン,ポケモンの名前,KNOWN
マンキー,名詞,ポケモン,ポケモンの名前,KNOWN
オコリザル,名詞,ポケモン,ポケモンの名前,KNOWN
ガーディ,名詞,ポケモン,ポケモンの名前,KNOWN
ガーディ,名詞,ポケモン,ポケモンの名前,KNOWN
ウインディ,名詞,ポケモン,ポケモンの名前,KNOWN
ウインディ,名詞,ポケモン,ポケモンの名前,KNOWN
ニョロモ,名詞,ポケモン,ポケモンの名前,KNOWN
ニョロゾ,名詞,ポケモン,ポケモンの名前,KNOWN
ニョロボン,名詞,ポケモン,ポケモンの名前,KNOWN
ケーシィ,名詞,ポケモン,ポケモンの名前,KNOWN
ユンゲラー,名詞,ポケモン,ポケモンの名前,KNOWN
フーディン,名詞,ポケモン,ポケモンの名前,KNOWN
メガフーディン,名詞,ポケモン,ポケモンの名前,KNOWN
ワンリキー,名詞,ポケモン,ポケモンの名前,KNOWN
ゴーリキー,名詞,ポケモン,ポケモンの名前,KNOWN
カイリキー,名詞,ポケモン,ポケモンの名前,KNOWN
マダツボミ,名詞,ポケモン,ポケモンの名前,KNOWN
ウツドン,名詞,ポケモン,ポケモンの名前,KNOWN
ウツボット,名詞,ポケモン,ポケモンの名前,KNOWN
メノクラゲ,名詞,ポケモン,ポケモンの名前,KNOWN
ドククラゲ,名詞,ポケモン,ポケモンの名前,KNOWN
イシツブテ,名詞,ポケモン,ポケモンの名前,KNOWN
イシツブテ,名詞,ポケモン,ポケモンの名前,KNOWN
ゴローン,名詞,ポケモン,ポケモンの名前,KNOWN
ゴローン,名詞,ポケモン,ポケモンの名前,KNOWN
ゴローニャ,名詞,ポケモン,ポケモンの名前,KNOWN
ゴローニャ,名詞,ポケモン,ポケモンの名前,KNOWN
ポニータ,名詞,ポケモン,ポケモンの名前,KNOWN
ポニータ,名詞,ポケモン,ポケモンの名前,KNOWN
ギャロップ,名詞,ポケモン,ポケモンの名前,KNOWN
ギャロップ,名詞,ポケモン,ポケモンの名前,KNOWN
ヤドン,名詞,ポケモン,ポケモンの名前,KNOWN
ヤドン,名詞,ポケモン,ポケモンの名前,KNOWN
ヤドラン,名詞,ポケモン,ポケモンの名前,KNOWN
メガヤドラン,名詞,ポケモン,ポケモンの名前,KNOWN
ヤドラン,名詞,ポケモン,ポケモンの名前,KNOWN
コイル,名詞,ポケモン,ポケモンの名前,KNOWN
レアコイル,名詞,ポケモン,ポケモンの名前,KNOWN
カモネギ,名詞,ポケモン,ポケモンの名前,KNOWN
カモネギ,名詞,ポケモン,ポケモンの名前,KNOWN
ドードー,名詞,ポケモン,ポケモンの名前,KNOWN
ドードリオ,名詞,ポケモン,ポケモンの名前,KNOWN
パウワウ,名詞,ポケモン,ポケモンの名前,KNOWN
ジュゴン,名詞,ポケモン,ポケモンの名前,KNOWN
ベトベター,名詞,ポケモン,ポケモンの名前,KNOWN
ベトベター,名詞,ポケモン,ポケモンの名前,KNOWN
ベトベトン,名詞,ポケモン,ポケモンの名前,KNOWN
ベトベトン,名詞,ポケモン,ポケモンの名前,KNOWN
シェルダー,名詞,ポケモン,ポケモンの名前,KNOWN
パルシェン,名詞,ポケモン,ポケモンの名前,KNOWN
ゴース,名詞,ポケモン,ポケモンの名前,KNOWN
ゴースト,名詞,ポケモン,ポケモンの名前,KNOWN
ゲンガー,名詞,ポケモン,ポケモンの名前,KNOWN
メガゲンガー,名詞,ポケモン,ポケモンの名前,KNOWN
イワーク,名詞,ポケモン,ポケモンの名前,KNOWN
スリープ,名詞,ポケモン,ポケモンの名前,KNOWN
スリーパー,名詞,ポケモン,ポケモンの名前,KNOWN
クラブ,名詞,ポケモン,ポケモンの名前,KNOWN
キングラー,名詞,ポケモン,ポケモンの名前,KNOWN
ビリリダマ,名詞,ポケモン,ポケモンの名前,KNOWN
ビリリダマ,名詞,ポケモン,ポケモンの名前,KNOWN
マルマイン,名詞,ポケモン,ポケモンの名前,KNOWN
マルマイン,名詞,ポケモン,ポケモンの名前,KNOWN
タマタマ,名詞,ポケモン,ポケモンの名前,KNOWN
ナッシー,名詞,ポケモン,ポケモンの名前,KNOWN
ナッシー,名詞,ポケモン,ポケモンの名前,KNOWN
カラカラ,名詞,ポケモン,ポケモンの名前,KNOWN
ガラガラ,名詞,ポケモン,ポケモンの名前,KNOWN
ガラガラ,名詞,ポケモン,ポケモンの名前,KNOWN
サワムラー,名詞,ポケモン,ポケモンの名前,KNOWN
エビワラー,名詞,ポケモン,ポケモンの名前,KNOWN
ベロリンガ,名詞,ポケモン,ポケモンの名前,KNOWN
ドガース,名詞,ポケモン,ポケモンの名前,KNOWN
マタドガス,名詞,ポケモン,ポケモンの名前,KNOWN
マタドガス,名詞,ポケモン,ポケモンの名前,KNOWN
サイホーン,名詞,ポケモン,ポケモンの名前,KNOWN
サイドン,名詞,ポケモン,ポケモンの名前,KNOWN
ラッキー,名詞,ポケモン,ポケモンの名前,KNOWN
モンジャラ,名詞,ポケモン,ポケモンの名前,KNOWN
ガルーラ,名詞,ポケモン,ポケモンの名前,KNOWN
メガガルーラ,名詞,ポケモン,ポケモンの名前,KNOWN
タッツー,名詞,ポケモン,ポケモンの名前,KNOWN
シードラ,名詞,ポケモン,ポケモンの名前,KNOWN
トサキント,名詞,ポケモン,ポケモンの名前,KNOWN
アズマオウ,名詞,ポケモン,ポケモンの名前,KNOWN
ヒトデマン,名詞,ポケモン,ポケモンの名前,KNOWN
スターミー,名詞,ポケモン,ポケモンの名前,KNOWN
バリヤード,名詞,ポケモン,ポケモンの名前,KNOWN
バリヤード,名詞,ポケモン,ポケモンの名前,KNOWN
ストライク,名詞,ポケモン,ポケモンの名前,KNOWN
ルージュラ,名詞,ポケモン,ポケモンの名前,KNOWN
エレブー,名詞,ポケモン,ポケモンの名前,KNOWN
ブーバー,名詞,ポケモン,ポケモンの名前,KNOWN
カイロス,名詞,ポケモン,ポケモンの名前,KNOWN
メガカイロス,名詞,ポケモン,ポケモンの名前,KNOWN
ケンタロス,名詞,ポケモン,ポケモンの名前,KNOWN
ケンタロス,名詞,ポケモン,ポケモンの名前,KNOWN
ケンタロス,名詞,ポケモン,ポケモンの名前,KNOWN
ケンタロス,名詞,ポケモン,ポケモンの名前,KNOWN
コイキング,名詞,ポケモン,ポケモンの名前,KNOWN
ギャラドス,名詞,ポケモン,ポケモンの名前,KNOWN
メガギャラドス,名詞,ポケモン,ポケモンの名前,KNOWN
ラプラス,名詞,ポケモン,ポケモンの名前,KNOWN
メタモン,名詞,ポケモン,ポケモンの名前,KNOWN
イーブイ,名詞,ポケモン,ポケモンの名前,KNOWN
シャワーズ,名詞,ポケモン,ポケモンの名前,KNOWN
サンダース,名詞,ポケモン,ポケモンの名前,KNOWN
ブースター,名詞,ポケモン,ポケモンの名前,KNOWN
ポリゴン,名詞,ポケモン,ポケモンの名前,KNOWN
オムナイト,名詞,ポケモン,ポケモンの名前,KNOWN
オムスター,名詞,ポケモン,ポケモンの名前,KNOWN
カブト,名詞,ポケモン,ポケモンの名前,KNOWN
カブトプス,名詞,ポケモン,ポケモンの名前,KNOWN
プテラ,名詞,ポケモン,ポケモンの名前,KNOWN
メガプテラ,名詞,ポケモン,ポケモンの名前,KNOWN
カビゴン,名詞,ポケモン,ポケモンの名前,KNOWN
フリーザー,名詞,ポケモン,ポケモンの名前,KNOWN
フリーザー,名詞,ポケモン,ポケモンの名前,KNOWN
サンダー,名詞,ポケモン,ポケモンの名前,KNOWN
サンダー,名詞,ポケモン,ポケモンの名前,KNOWN
ファイヤー,名詞,ポケモン,ポケモンの名前,KNOWN
ファイヤー,名詞,ポケモン,ポケモンの名前,KNOWN
ミニリュウ,名詞,ポケモン,ポケモンの名前,KNOWN
ハクリュー,名詞,ポケモン,ポケモンの名前,KNOWN
カイリュー,名詞,ポケモン,ポケモンの名前,KNOWN
ミュウツー,名詞,ポケモン,ポケモンの名前,KNOWN
メガミュウツーX,名詞,ポケモン,ポケモンの名前,KNOWN
メガミュウツーY,名詞,ポケモン,ポケモンの名前,KNOWN
ミュウ,名詞,ポケモン,ポケモンの名前,KNOWN
チコリータ,名詞,ポケモン,ポケモンの名前,KNOWN
ベイリーフ,名詞,ポケモン,ポケモンの名前,KNOWN
メガニウム,名詞,ポケモン,ポケモンの名前,KNOWN
ヒノアラシ,名詞,ポケモン,ポケモンの名前,KNOWN
マグマラシ,名詞,ポケモン,ポケモンの名前,KNOWN
バクフーン,名詞,ポケモン,ポケモンの名前,KNOWN
バクフーン,名詞,ポケモン,ポケモンの名前,KNOWN
ワニノコ,名詞,ポケモン,ポケモンの名前,KNOWN
アリゲイツ,名詞,ポケモン,ポケモンの名前,KNOWN
オーダイル,名詞,ポケモン,ポケモンの名前,KNOWN
オタチ,名詞,ポケモン,ポケモンの名前,KNOWN
オオタチ,名詞,ポケモン,ポケモンの名前,KNOWN
ホーホー,名詞,ポケモン,ポケモンの名前,KNOWN
ヨルノズク,名詞,ポケモン,ポケモンの名前,KNOWN
レディバ,名詞,ポケモン,ポケモンの名前,KNOWN
レディアン,名詞,ポケモン,ポケモンの名前,KNOWN
イトマル,名詞,ポケモン,ポケモンの名前,KNOWN
アリアドス,名詞,ポケモン,ポケモンの名前,KNOWN
クロバット,名詞,ポケモン,ポケモンの名前,KNOWN
チョンチー,名詞,ポケモン,ポケモンの名前,KNOWN
ランターン,名詞,ポケモン,ポケモンの名前,KNOWN
ピチュー,名詞,ポケモン,ポケモンの名前,KNOWN
ピィ,名詞,ポケモン,ポケモンの名前,KNOWN
ププリン,名詞,ポケモン,ポケモンの名前,KNOWN
トゲピー,名詞,ポケモン,ポケモンの名前,KNOWN
トゲチック,名詞,ポケモン,ポケモンの名前,KNOWN
ネイティ,名詞,ポケモン,ポケモンの名前,KNOWN
ネイティオ,名詞,ポケモン,ポケモンの名前,KNOWN
メリープ,名詞,ポケモン,ポケモンの名前,KNOWN
モココ,名詞,ポケモン,ポケモンの名前,KNOWN
デンリュウ,名詞,ポケモン,ポケモンの名前,KNOWN
メガデンリュウ,名詞,ポケモン,ポケモンの名前,KNOWN
キレイハナ,名詞,ポケモン,ポケモンの名前,KNOWN
マリル,名詞,ポケモン,ポケモンの名前,KNOWN
マリルリ,名詞,ポケモン,ポケモンの名前,KNOWN
ウソッキー,名詞,ポケモン,ポケモンの名前,KNOWN
ニョロトノ,名詞,ポケモン,ポケモンの名前,KNOWN
ハネッコ,名詞,ポケモン,ポケモンの名前,KNOWN
ポポッコ,名詞,ポケモン,ポケモンの名前,KNOWN
ワタッコ,名詞,ポケモン,ポケモンの名前,KNOWN
エイパム,名詞,ポケモン,ポケモンの名前,KNOWN
ヒマナッツ,名詞,ポケモン,ポケモンの名前,KNOWN
キマワリ,名詞,ポケモン,ポケモンの名前,KNOWN
ヤンヤンマ,名詞,ポケモン,ポケモンの名前,KNOWN
ウパー,名詞,ポケモン,ポケモンの名前,KNOWN
ウパー,名詞,ポケモン,ポケモンの名前,KNOWN
ヌオー,名詞,ポケモン,ポケモンの名前,KNOWN
エーフィ,名詞,ポケモン,ポケモンの名前,KNOWN
ブラッキー,名詞,ポケモン,ポケモンの名前,KNOWN
ヤミカラス,名詞,ポケモン,ポケモンの名前,KNOWN
ヤドキング,名詞,ポケモン,ポケモンの名前,KNOWN
ヤドキング,名詞,ポケモン,ポケモンの名前,KNOWN
ムウマ,名詞,ポケモン,ポケモンの名前,KNOWN
アンノーン,名詞,ポケモン,ポケモンの名前,KNOWN
ソーナンス,名詞,ポケモン,ポケモンの名前,KNOWN
キリンリキ,名詞,ポケモン,ポケモンの名前,KNOWN
クヌギダマ,名詞,ポケモン,ポケモンの名前,KNOWN
フォレトス,名詞,ポケモン,ポケモンの名前,KNOWN
ノコッチ,名詞,ポケモン,ポケモンの名前,KNOWN
グライガー,名詞,ポケモン,ポケモンの名前,KNOWN
ハガネール,名詞,ポケモン,ポケモンの名前,KNOWN
メガハガネール,名詞,ポケモン,ポケモンの名前,KNOWN
ブルー,名詞,ポケモン,ポケモンの名前,KNOWN
グランブル,名詞,ポケモン,ポケモンの名前,KNOWN
ハリーセン,名詞,ポケモン,ポケモンの名前,KNOWN
ハリーセン,名詞,ポケモン,ポケモンの名前,KNOWN
ハッサム,名詞,ポケモン,ポケモンの名前,KNOWN
メガハッサム,名詞,ポケモン,ポケモンの名前,KNOWN
ツボツボ,名詞,ポケモン,ポケモンの名前,KNOWN
ヘラクロス,名詞,ポケモン,ポケモンの名前,KNOWN
メガヘラクロス,名詞,ポケモン,ポケモンの名前,KNOWN
ニューラ,名詞,ポケモン,ポケモンの名前,KNOWN
ニューラ,名詞,ポケモン,ポケモンの名前,KNOWN
ヒメグマ,名詞,ポケモン,ポケモンの名前,KNOWN
リングマ,名詞,ポケモン,ポケモンの名前,KNOWN
マグマッグ,名詞,ポケモン,ポケモンの名前,KNOWN
マグカルゴ,名詞,ポケモン,ポケモンの名前,KNOWN
ウリムー,名詞,ポケモン,ポケモンの名前,KNOWN
イノムー,名詞,ポケモン,ポケモンの名前,KNOWN
サニーゴ,名詞,ポケモン,ポケモンの名前,KNOWN
サニーゴ,名詞,ポケモン,ポケモンの名前,KNOWN
テッポウオ,名詞,ポケモン,ポケモンの名前,KNOWN
オクタン,名詞,ポケモン,ポケモンの名前,KNOWN
デリバード,名詞,ポケモン,ポケモンの名前,KNOWN
マンタイン,名詞,ポケモン,ポケモンの名前,KNOWN
エアームド,名詞,ポケモン,ポケモンの名前,KNOWN
デルビル,名詞,ポケモン,ポケモンの名前,KNOWN
ヘルガー,名詞,ポケモン,ポケモンの名前,KNOWN
メガヘルガー,名詞,ポケモン,ポケモンの名前,KNOWN
キングドラ,名詞,ポケモン,ポケモンの名前,KNOWN
ゴマゾウ,名詞,ポケモン,ポケモンの名前,KNOWN
ドンファン,名詞,ポケモン,ポケモンの名前,KNOWN
ポリゴン2,名詞,ポケモン,ポケモンの名前,KNOWN
オドシシ,名詞,ポケモン,ポケモンの名前,KNOWN
ドーブル,名詞,ポケモン,ポケモンの名前,KNOWN
バルキー,名詞,ポケモン,ポケモンの名前,KNOWN
カポエラー,名詞,ポケモン,ポケモンの名前,KNOWN
ムチュール,名詞,ポケモン,ポケモンの名前,KNOWN
エレキッド,名詞,ポケモン,ポケモンの名前,KNOWN
ブビィ,名詞,ポケモン,ポケモンの名前,KNOWN
ミルタンク,名詞,ポケモン,ポケモンの名前,KNOWN
ハピナス,名詞,ポケモン,ポケモンの名前,KNOWN
ライコウ,名詞,ポケモン,ポケモンの名前,KNOWN
エンテイ,名詞,ポケモン,ポケモンの名前,KNOWN
スイクン,名詞,ポケモン,ポケモンの名前,KNOWN
ヨーギラス,名詞,ポケモン,ポケモンの名前,KNOWN
サナギラス,名詞,ポケモン,ポケモンの名前,KNOWN
バンギラス,名詞,ポケモン,ポケモンの名前,KNOWN
メガバンギラス,名詞,ポケモン,ポケモンの名前,KNOWN
ルギア,名詞,ポケモン,ポケモンの名前,KNOWN
ホウオウ,名詞,ポケモン,ポケモンの名前,KNOWN
セレビィ,名詞,ポケモン,ポケモンの名前,KNOWN
キモリ,名詞,ポケモン,ポケモンの名前,KNOWN
ジュプトル,名詞,ポケモン,ポケモンの名前,KNOWN
ジュカイン,名詞,ポケモン,ポケモンの名前,KNOWN
メガジュカイン,名詞,ポケモン,ポケモンの名前,KNOWN
アチャモ,名詞,ポケモン,ポケモンの名前,KNOWN
ワカシャモ,名詞,ポケモン,ポケモンの名前,KNOWN
バシャーモ,名詞,ポケモン,ポケモンの名前,KNOWN
メガバシャーモ,名詞,ポケモン,ポケモンの名前,KNOWN
ミズゴロウ,名詞,ポケモン,ポケモンの名前,KNOWN
ヌマクロー,名詞,ポケモン,ポケモンの名前,KNOWN
ラグラージ,名詞,ポケモン,ポケモンの名前,KNOWN
メガラグラージ,名詞,ポケモン,ポケモンの名前,KNOWN
ポチエナ,名詞,ポケモン,ポケモンの名前,KNOWN
グラエナ,名詞,ポケモン,ポケモンの名前,KNOWN
ジグザグマ,名詞,ポケモン,ポケモンの名前,KNOWN
ジグザグマ,名詞,ポケモン,ポケモンの名前,KNOWN
マッスグマ,名詞,ポケモン,ポケモンの名前,KNOWN
マッスグマ,名詞,ポケモン,ポケモンの名前,KNOWN
ケムッソ,名詞,ポケモン,ポケモンの名前,KNOWN
カラサリス,名詞,ポケモン,ポケモンの名前,KNOWN
アゲハント,名詞,ポケモン,ポケモンの名前,KNOWN
マユルド,名詞,ポケモン,ポケモンの名前,KNOWN
ドクケイル,名詞,ポケモン,ポケモンの名前,KNOWN
ハスボー,名詞,ポケモン,ポケモンの名前,KNOWN
ハスブレロ,名詞,ポケモン,ポケモンの名前,KNOWN
ルンパッパ,名詞,ポケモン,ポケモンの名前,KNOWN
タネボー,名詞,ポケモン,ポケモンの名前,KNOWN
コノハナ,名詞,ポケモン,ポケモンの名前,KNOWN
ダーテング,名詞,ポケモン,ポケモンの名前,KNOWN
スバメ,名詞,ポケモン,ポケモンの名前,KNOWN
オオスバメ,名詞,ポケモン,ポケモンの名前,KNOWN
キャモメ,名詞,ポケモン,ポケモンの名前,KNOWN
ペリッパー,名詞,ポケモン,ポケモンの名前,KNOWN
ラルトス,名詞,ポケモン,ポケモンの名前,KNOWN
キルリア,名詞,ポケモン,ポケモンの名前,KNOWN
サーナイト,名詞,ポケモン,ポケモンの名前,KNOWN
メガサーナイト,名詞,ポケモン,ポケモンの名前,KNOWN
アメタマ,名詞,ポケモン,ポケモンの名前,KNOWN
アメモース,名詞,ポケモン,ポケモンの名前,KNOWN
キノココ,名詞,ポケモン,ポケモンの名前,KNOWN
キノガッサ,名詞,ポケモン,ポケモンの名前,KNOWN
ナマケロ,名詞,ポケモン,ポケモンの名前,KNOWN
ヤルキモノ,名詞,ポケモン,ポケモンの名前,KNOWN
ケッキング,名詞,ポケモン,ポケモンの名前,KNOWN
ツチニン,名詞,ポケモン,ポケモンの名前,KNOWN
テッカニン,名詞,ポケモン,ポケモンの名前,KNOWN
ヌケニン,名詞,ポケモン,ポケモンの名前,KNOWN
ゴニョニョ,名詞,ポケモン,ポケモンの名前,KNOWN
ドゴーム,名詞,ポケモン,ポケモンの名前,KNOWN
バクオング,名詞,ポケモン,ポケモンの名前,KNOWN
マクノシタ,名詞,ポケモン,ポケモンの名前,KNOWN
ハリテヤマ,名詞,ポケモン,ポケモンの名前,KNOWN
ルリリ,名詞,ポケモン,ポケモンの名前,KNOWN
ノズパス,名詞,ポケモン,ポケモンの名前,KNOWN
エネコ,名詞,ポケモン,ポケモンの名前,KNOWN
エネコロロ,名詞,ポケモン,ポケモンの名前,KNOWN
ヤミラミ,名詞,ポケモン,ポケモンの名前,KNOWN
メガヤミラミ,名詞,ポケモン,ポケモンの名前,KNOWN
クチート,名詞,ポケモン,ポケモンの名前,KNOWN
メガクチート,名詞,ポケモン,ポケモンの名前,KNOWN
ココドラ,名詞,ポケモン,ポケモンの名前,KNOWN
コドラ,名詞,ポケモン,ポケモンの名前,KNOWN
ボスゴドラ,名詞,ポケモン,ポケモンの名前,KNOWN
メガボスゴドラ,名詞,ポケモン,ポケモンの名前,KNOWN
アサナン,名詞,ポケモン,ポケモンの名前,KNOWN
チャーレム,名詞,ポケモン,ポケモンの名前,KNOWN
メガチャーレム,名詞,ポケモン,ポケモンの名前,KNOWN
ラクライ,名詞,ポケモン,ポケモンの名前,KNOWN
ライボルト,名詞,ポケモン,ポケモンの名前,KNOWN
メガライボルト,名詞,ポケモン,ポケモンの名前,KNOWN
プラスル,名詞,ポケモン,ポケモンの名前,KNOWN
マイナン,名詞,ポケモン,ポケモンの名前,KNOWN
バルビート,名詞,ポケモン,ポケモンの名前,KNOWN
イルミーゼ,名詞,ポケモン,ポケモンの名前,KNOWN
ロゼリア,名詞,ポケモン,ポケモンの名前,KNOWN
ゴクリン,名詞,ポケモン,ポケモンの名前,KNOWN
マルノーム,名詞,ポケモン,ポケモンの名前,KNOWN
キバニア,名詞,ポケモン,ポケモンの名前,KNOWN
サメハダー,名詞,ポケモン,ポケモンの名前,KNOWN
メガサメハダー,名詞,ポケモン,ポケモンの名前,KNOWN
ホエルコ,名詞,ポケモン,ポケモンの名前,KNOWN
ホエルオー,名詞,ポケモン,ポケモンの名前,KNOWN
ドンメル,名詞,ポケモン,ポケモンの名前,KNOWN
バクーダ,名詞,ポケモン,ポケモンの名前,KNOWN
メガバクーダ,名詞,ポケモン,ポケモンの名前,KNOWN
コータス,名詞,ポケモン,ポケモンの名前,KNOWN
バネブー,名詞,ポケモン,ポケモンの名前,KNOWN
ブーピッグ,名詞,ポケモン,ポケモンの名前,KNOWN
